"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"8625","06-01-22 20:45","Italy","Serie A","2021/2022","Juventus","Napoli","1","1","D","0","1","A","1","0","H"
"8626","06-01-22 18:30","Italy","Serie A","2021/2022","AC Milan","AS Roma","3","1","H","2","1","H","1","0","H"
"8627","06-01-22 16:30","Italy","Serie A","2021/2022","Sassuolo","Genoa","1","1","D","0","1","A","1","0","H"
"8628","06-01-22 14:30","Italy","Serie A","2021/2022","Lazio","Empoli","3","3","D","1","2","A","2","1","H"
"8629","06-01-22 14:30","Italy","Serie A","2021/2022","Spezia","Verona","1","2","A","0","0","D","1","2","A"
"8630","06-01-22 12:30","Italy","Serie A","2021/2022","Sampdoria","Cagliari","1","2","A","1","0","H","0","2","A"
"8631","22-12-21 20:45","Italy","Serie A","2021/2022","Empoli","AC Milan","2","4","A","1","2","A","1","2","A"
"8632","22-12-21 20:45","Italy","Serie A","2021/2022","Napoli","Spezia","0","1","A","0","1","A","0","0","D"
"8633","22-12-21 18:30","Italy","Serie A","2021/2022","AS Roma","Sampdoria","1","1","D","0","0","D","1","1","D"
"8634","22-12-21 18:30","Italy","Serie A","2021/2022","Inter","Torino","1","0","H","1","0","H","0","0","D"
"8635","22-12-21 18:30","Italy","Serie A","2021/2022","Verona","Fiorentina","1","1","D","1","0","H","0","1","A"
"8636","22-12-21 16:30","Italy","Serie A","2021/2022","Sassuolo","Bologna","0","3","A","0","2","A","0","1","A"
"8637","22-12-21 16:30","Italy","Serie A","2021/2022","Venezia","Lazio","1","3","A","1","1","D","0","2","A"
"8638","21-12-21 20:45","Italy","Serie A","2021/2022","Genoa","Atalanta","0","0","D","0","0","D","0","0","D"
"8639","21-12-21 20:45","Italy","Serie A","2021/2022","Juventus","Cagliari","2","0","H","1","0","H","1","0","H"
"8640","19-12-21 20:45","Italy","Serie A","2021/2022","AC Milan","Napoli","0","1","A","0","1","A","0","0","D"
"8641","19-12-21 18:00","Italy","Serie A","2021/2022","Sampdoria","Venezia","1","1","D","1","0","H","0","1","A"
"8642","19-12-21 18:00","Italy","Serie A","2021/2022","Torino","Verona","1","0","H","1","0","H","0","0","D"
"8643","19-12-21 15:00","Italy","Serie A","2021/2022","Spezia","Empoli","1","1","D","0","0","D","1","1","D"
"8644","19-12-21 12:30","Italy","Serie A","2021/2022","Fiorentina","Sassuolo","2","2","D","0","2","A","2","0","H"
"8645","18-12-21 20:45","Italy","Serie A","2021/2022","Cagliari","Udinese","0","4","A","0","2","A","0","2","A"
"8646","18-12-21 18:00","Italy","Serie A","2021/2022","Bologna","Juventus","0","2","A","0","1","A","0","1","A"
"8647","18-12-21 15:00","Italy","Serie A","2021/2022","Atalanta","AS Roma","1","4","A","1","2","A","0","2","A"
"8648","17-12-21 20:45","Italy","Serie A","2021/2022","Salernitana","Inter","0","5","A","0","2","A","0","3","A"
"8649","17-12-21 18:30","Italy","Serie A","2021/2022","Lazio","Genoa","3","1","H","1","0","H","2","1","H"
"8650","13-12-21 20:45","Italy","Serie A","2021/2022","AS Roma","Spezia","2","0","H","1","0","H","1","0","H"
"8651","12-12-21 20:45","Italy","Serie A","2021/2022","Inter","Cagliari","4","0","H","1","0","H","3","0","H"
"8652","12-12-21 18:00","Italy","Serie A","2021/2022","Napoli","Empoli","0","1","A","0","0","D","0","1","A"
"8653","12-12-21 18:00","Italy","Serie A","2021/2022","Sassuolo","Lazio","2","1","H","0","1","A","2","0","H"
"8654","12-12-21 15:00","Italy","Serie A","2021/2022","Verona","Atalanta","1","2","A","1","1","D","0","1","A"
"8655","12-12-21 12:30","Italy","Serie A","2021/2022","Torino","Bologna","2","1","H","1","0","H","1","1","D"
"8656","11-12-21 20:45","Italy","Serie A","2021/2022","Udinese","AC Milan","1","1","D","1","0","H","0","1","A"
"8657","11-12-21 18:00","Italy","Serie A","2021/2022","Venezia","Juventus","1","1","D","0","1","A","1","0","H"
"8658","11-12-21 15:00","Italy","Serie A","2021/2022","Fiorentina","Salernitana","4","0","H","1","0","H","3","0","H"
"8659","10-12-21 20:45","Italy","Serie A","2021/2022","Genoa","Sampdoria","1","3","A","0","1","A","1","2","A"
"8660","06-12-21 20:45","Italy","Serie A","2021/2022","Cagliari","Torino","1","1","D","0","1","A","1","0","H"
"8661","06-12-21 18:30","Italy","Serie A","2021/2022","Empoli","Udinese","3","1","H","0","1","A","3","0","H"
"8662","05-12-21 20:45","Italy","Serie A","2021/2022","Juventus","Genoa","2","0","H","1","0","H","1","0","H"
"8663","05-12-21 18:00","Italy","Serie A","2021/2022","Sampdoria","Lazio","1","3","A","0","3","A","1","0","H"
"8664","05-12-21 15:00","Italy","Serie A","2021/2022","Spezia","Sassuolo","2","2","D","1","0","H","1","2","A"
"8665","05-12-21 15:00","Italy","Serie A","2021/2022","Venezia","Verona","3","4","A","3","0","H","0","4","A"
"8666","05-12-21 12:30","Italy","Serie A","2021/2022","Bologna","Fiorentina","2","3","A","1","1","D","1","2","A"
"8667","04-12-21 20:45","Italy","Serie A","2021/2022","Napoli","Atalanta","2","3","A","1","1","D","1","2","A"
"8668","04-12-21 18:00","Italy","Serie A","2021/2022","AS Roma","Inter","0","3","A","0","3","A","0","0","D"
"8669","04-12-21 15:00","Italy","Serie A","2021/2022","AC Milan","Salernitana","2","0","H","2","0","H","0","0","D"
"8670","02-12-21 20:45","Italy","Serie A","2021/2022","Lazio","Udinese","4","4","D","1","3","A","3","1","H"
"8671","02-12-21 18:30","Italy","Serie A","2021/2022","Torino","Empoli","2","2","D","2","1","H","0","1","A"
"8672","01-12-21 20:45","Italy","Serie A","2021/2022","Genoa","AC Milan","0","3","A","0","2","A","0","1","A"
"8673","01-12-21 20:45","Italy","Serie A","2021/2022","Sassuolo","Napoli","2","2","D","0","0","D","2","2","D"
"8674","01-12-21 18:30","Italy","Serie A","2021/2022","Bologna","AS Roma","1","0","H","1","0","H","0","0","D"
"8675","01-12-21 18:30","Italy","Serie A","2021/2022","Inter","Spezia","2","0","H","1","0","H","1","0","H"
"8676","30-11-21 20:45","Italy","Serie A","2021/2022","Salernitana","Juventus","0","2","A","0","1","A","0","1","A"
"8677","30-11-21 20:45","Italy","Serie A","2021/2022","Verona","Cagliari","0","0","D","0","0","D","0","0","D"
"8678","30-11-21 18:30","Italy","Serie A","2021/2022","Atalanta","Venezia","4","0","H","2","0","H","2","0","H"
"8679","30-11-21 18:30","Italy","Serie A","2021/2022","Fiorentina","Sampdoria","3","1","H","3","1","H","0","0","D"
"8680","28-11-21 20:45","Italy","Serie A","2021/2022","Napoli","Lazio","4","0","H","3","0","H","1","0","H"
"8681","28-11-21 18:00","Italy","Serie A","2021/2022","AS Roma","Torino","1","0","H","1","0","H","0","0","D"
"8682","28-11-21 15:00","Italy","Serie A","2021/2022","AC Milan","Sassuolo","1","3","A","1","2","A","0","1","A"
"8683","28-11-21 15:00","Italy","Serie A","2021/2022","Spezia","Bologna","0","1","A","0","0","D","0","1","A"
"8684","28-11-21 12:30","Italy","Serie A","2021/2022","Udinese","Genoa","0","0","D","0","0","D","0","0","D"
"8685","27-11-21 20:45","Italy","Serie A","2021/2022","Venezia","Inter","0","2","A","0","1","A","0","1","A"
"8686","27-11-21 18:00","Italy","Serie A","2021/2022","Juventus","Atalanta","0","1","A","0","1","A","0","0","D"
