"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"74877","29-11-25 21:00","Spain","LaLiga","2025/2026","Atl. Madrid","Oviedo","1.28","6.11","12.20","1.02","15.00","1.21","4.50","1.63","2.30","2.63","1.50","4.68","1.20","2.16","1.70"
"74878","29-11-25 18:30","Spain","LaLiga","2025/2026","Levante","Ath Bilbao","4.15","3.54","1.97","1.06","10.00","1.33","3.40","2.10","1.80","3.71","1.29","7.24","1.10","1.83","1.98"
"74879","29-11-25 16:15","Spain","LaLiga","2025/2026","Barcelona","Alaves","1.26","6.69","10.90","1.01","23.00","1.13","6.32","1.37","3.16","2.01","1.88","3.03","1.39","1.72","2.12"
"74880","29-11-25 14:00","Spain","LaLiga","2025/2026","Mallorca","Osasuna","2.45","3.17","3.26","1.10","7.00","1.46","2.75","2.44","1.57","4.68","1.20","9.48","1.06","1.90","1.90"
"74795","28-11-25 21:00","Spain","LaLiga","2025/2026","Getafe","Elche","2.23","2.96","4.08","1.13","6.32","1.50","2.63","2.69","1.48","5.01","1.18","11.10","1.05","2.06","1.76"
"74735","24-11-25 21:00","Spain","LaLiga","2025/2026","Espanyol","Sevilla","1.89","3.79","4.23","1.04","11.60","1.26","3.95","1.88","2.01","3.03","1.39","6.02","1.14","1.72","2.12"
"74712","23-11-25 21:00","Spain","LaLiga","2025/2026","Elche","Real Madrid","7.10","5.39","1.42","1.01","22.00","1.16","5.50","1.50","2.63","2.24","1.67","3.71","1.29","1.70","2.15"
"74713","23-11-25 18:30","Spain","LaLiga","2025/2026","Getafe","Atl. Madrid","4.95","3.41","1.87","1.13","6.38","1.54","2.53","2.66","1.49","5.48","1.16","11.00","1.05","2.33","1.61"
"74714","23-11-25 16:15","Spain","LaLiga","2025/2026","Betis","Girona","1.54","4.68","5.98","1.02","17.50","1.18","5.00","1.54","2.50","2.34","1.62","4.05","1.25","1.65","2.24"
"74715","23-11-25 14:00","Spain","LaLiga","2025/2026","Oviedo","Rayo Vallecano","3.65","3.26","2.22","1.08","8.42","1.37","3.16","2.21","1.73","4.16","1.24","8.40","1.08","1.90","1.90"
"74665","22-11-25 21:00","Spain","LaLiga","2025/2026","Villarreal","Mallorca","1.42","5.13","7.70","1.02","15.80","1.20","4.74","1.63","2.32","2.50","1.54","4.45","1.22","1.90","1.90"
"74666","22-11-25 18:30","Spain","LaLiga","2025/2026","Osasuna","Real Sociedad","2.78","2.98","2.98","1.10","7.00","1.46","2.75","2.44","1.57","4.68","1.20","9.48","1.06","1.90","1.90"
"74667","22-11-25 16:15","Spain","LaLiga","2025/2026","Barcelona","Ath Bilbao","1.44","5.13","7.02","1.01","21.00","1.16","5.50","1.46","2.75","2.21","1.73","3.60","1.30","1.60","2.34"
"74668","22-11-25 14:00","Spain","LaLiga","2025/2026","Alaves","Celta Vigo","2.75","3.06","2.93","1.10","7.00","1.46","2.75","2.44","1.57","4.68","1.20","9.48","1.06","1.90","1.90"
"74582","21-11-25 21:00","Spain","LaLiga","2025/2026","Valencia","Levante","2.05","3.60","3.78","1.06","10.00","1.33","3.40","2.10","1.80","3.60","1.30","6.80","1.11","1.76","2.06"
"74505","09-11-25 21:00","Spain","LaLiga","2025/2026","Celta Vigo","Barcelona","4.46","4.43","1.72","1.02","25.00","1.11","6.84","1.34","3.37","1.88","2.01","3.03","1.39","1.42","2.89"
"74506","09-11-25 18:30","Spain","LaLiga","2025/2026","Mallorca","Getafe","2.57","2.98","3.28","1.16","5.50","1.74","2.20","3.18","1.37","6.32","1.13","13.10","1.03","2.29","1.63"
"74507","09-11-25 18:30","Spain","LaLiga","2025/2026","Valencia","Betis","3.89","3.46","2.06","1.06","10.00","1.28","3.75","1.97","1.91","3.37","1.34","6.32","1.13","1.68","2.18"
"74508","09-11-25 16:15","Spain","LaLiga","2025/2026","Rayo Vallecano","Real Madrid","5.71","4.85","1.54","1.02","19.50","1.18","5.00","1.50","2.63","2.34","1.62","4.05","1.25","1.60","2.34"
"74509","09-11-25 14:00","Spain","LaLiga","2025/2026","Ath Bilbao","Oviedo","1.62","3.58","7.53","1.10","7.37","1.43","2.90","2.32","1.63","4.45","1.22","9.03","1.07","2.18","1.69"
"74442","08-11-25 21:00","Spain","LaLiga","2025/2026","Espanyol","Villarreal","3.04","3.47","2.42","1.05","11.00","1.28","3.75","1.97","1.91","3.18","1.37","6.32","1.13","1.67","2.21"
"74443","08-11-25 18:30","Spain","LaLiga","2025/2026","Atl. Madrid","Levante","1.25","7.20","11.30","1.02","24.00","1.16","5.50","1.46","2.75","2.21","1.73","3.60","1.30","1.98","1.83"
"74444","08-11-25 16:15","Spain","LaLiga","2025/2026","Sevilla","Osasuna","2.37","3.19","3.39","1.07","9.00","1.33","3.40","2.10","1.80","3.60","1.30","7.24","1.10","1.72","2.12"
"74445","08-11-25 14:00","Spain","LaLiga","2025/2026","Girona","Alaves","2.22","3.38","3.51","1.08","8.42","1.34","3.37","2.11","1.80","3.85","1.27","7.69","1.09","1.83","1.98"
"74357","07-11-25 21:00","Spain","LaLiga","2025/2026","Elche","Real Sociedad","3.34","3.17","2.41","1.09","8.00","1.40","3.00","2.32","1.67","4.05","1.25","8.08","1.09","1.90","1.90"
"74295","03-11-25 21:00","Spain","LaLiga","2025/2026","Oviedo","Osasuna","3.26","3.17","2.45","1.09","8.00","1.36","3.20","2.32","1.67","4.05","1.25","8.08","1.09","1.76","2.06"
"74268","02-11-25 21:00","Spain","LaLiga","2025/2026","Betis","Mallorca","1.58","4.34","5.98","1.03","13.00","1.23","4.33","1.80","2.10","2.82","1.45","5.26","1.17","1.74","2.09"
"74269","02-11-25 18:30","Spain","LaLiga","2025/2026","Barcelona","Elche","1.20","7.97","14.60","1.01","29.00","1.09","8.00","1.28","3.75","1.80","2.10","2.63","1.50","1.80","2.02"
"74270","02-11-25 16:15","Spain","LaLiga","2025/2026","Alaves","Espanyol","2.54","3.17","3.11","1.10","7.00","1.40","3.00","2.34","1.62","4.37","1.22","8.82","1.07","1.90","1.90"
"74271","02-11-25 14:00","Spain","LaLiga","2025/2026","Levante","Celta Vigo","3.23","3.44","2.33","1.04","11.60","1.24","4.21","1.80","2.10","2.86","1.43","5.53","1.15","1.60","2.34"
"74216","01-11-25 21:00","Spain","LaLiga","2025/2026","Real Madrid","Valencia","1.16","8.81","17.80","1.01","30.00","1.10","7.00","1.33","3.40","1.89","2.00","2.82","1.45","1.96","1.85"
"74217","01-11-25 18:30","Spain","LaLiga","2025/2026","Real Sociedad","Ath Bilbao","2.78","2.99","2.97","1.11","6.84","1.46","2.77","2.50","1.54","5.01","1.18","10.10","1.06","2.02","1.80"
"74218","01-11-25 16:15","Spain","LaLiga","2025/2026","Atl. Madrid","Sevilla","1.42","4.89","8.24","1.03","13.00","1.23","4.33","1.80","2.10","2.82","1.45","5.26","1.17","1.90","1.90"
